2021-12-27 12:44:09 INFO  Base:178 - Setting browser name to 'Chrome' on 'Desktop' device
2021-12-27 12:44:10 INFO  Base:106 - Driver instantiation exception
2021-12-27 12:44:10 INFO  Base:104 - Launched chrome browser
2021-12-27 12:44:10 INFO  Base:109 - Exception launching browser
2021-12-27 12:44:10 INFO  Base:154 - Waiting for 1 seconds to launch the URL
2021-12-27 12:44:11 INFO  Base:156 - Enter the URL 'https://www.bcferries.com/'
2021-12-27 12:44:11 INFO  Base:162 - Catch exception instantiating a browser null
2021-12-27 12:44:11 INFO  Base:123 - Exception launching URL
2021-12-27 12:44:14 INFO  Base:97 - 
2021-12-27 12:44:14 INFO  Base:98 - Exception: Entering From Location
2021-12-27 12:44:14 INFO  Base:57 - 
2021-12-27 12:44:14 INFO  Base:58 - Exception: From Location is not Selected
2021-12-27 12:44:15 INFO  Base:92 - 
2021-12-27 12:44:15 INFO  Base:93 - Exception: Date of Travel is not Selected
2021-12-27 12:44:20 INFO  Base:133 - 
2021-12-27 12:44:20 INFO  Base:134 - Exception: Entering to Location
2021-12-27 12:44:20 INFO  Base:74 - 
2021-12-27 12:44:20 INFO  Base:75 - Exception: To Location is not Selected
2021-12-27 12:44:22 INFO  Base:281 - 
2021-12-27 12:44:22 INFO  Base:282 - Exception: Continue Button in Home Page is not Clicked
2021-12-27 12:44:24 INFO  Base:440 - 
2021-12-27 12:44:24 INFO  Base:441 - Exception: 1x Adults Passenger in Passengers Page is not Incremented
2021-12-27 12:44:26 INFO  Base:490 - 
2021-12-27 12:44:26 INFO  Base:491 - Exception: 1x Children Passenger in Passengers Page is not Incremented
2021-12-27 12:44:28 INFO  Base:506 - 
2021-12-27 12:44:28 INFO  Base:507 - Exception: 1x Infants Passenger in Passengers Page is not Incremented
2021-12-27 12:44:30 INFO  Base:617 - 
2021-12-27 12:44:30 INFO  Base:618 - Exception: Clicking Continue in Passengers Page
